Released versions,,,,,
Version,Date,ProductCode,UpgradeCode,Compiler,Targets
v1.0.0.8,,{CF95E616-CBB9-4287-9F08-941606105494},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.0.1.8,,{9E899C9B-EB38-48BB-B32F-53C42411F38B},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.0.2.8,,{D1882164-8F38-4C94-9006-14AC50EFDFF5},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.0.3.8,,{7205B760-A2C6-44C8-9875-DF4950922E24},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.0.4.8,,{5FF1E4D8-C54D-4B16-98ED-49CE4F87D7AE},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.1.0.8,,{677CDA84-AA5F-4F32-829F-0A8C6FFD55BB},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.2.1.8,,{32A5476C-D40D-4061-BC6E-48ED26E316A9},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.3.1.9,,{68A6260D-0A02-4493-BD9B-B743D3876B37},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.3.2.9,,{0422B067-3021-446B-8172-CC70F4A20768},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.4.0.10,,{03870AF0-C688-4820-8634-54CAE4FAB44B},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.5.0.10,,{D6D30ADF-D241-4AC4-AB8C-28B5894F6949},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.5.1.10,,{866DA681-AC36-4DC7-896B-43D396441E5E},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.5.2.10,,{B7B94DC2-EB37-41B7-988C-37C0D5069BB3},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32
v1.5.3.10,,{390C247C-C74D-4636-906C-8DCA7F55733D},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7/vc8,win32
v1.5.4.10,,{6F830E22-D39C-47F1-9E5B-CDE43F160BA2},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32,,
,,{390C247C-C74D-4636-906C-8DCA7F55733D},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,,
v1.6.0.11,,{D9A5C163-9C63-4CB0-A992-5E34A00D3D6C},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32,,
,,{390C247C-C74D-4636-906C-8DCA7F55733D},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,,
v1.7.0.12,,{93FA274A-50D5-49B4-8D6B-EB42C6EB6C06},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc7,win32,,
,,{605ABF5C-AB5E-4ED7-A902-ED15A8C05516},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,,
v1.7.1.12,,{717F1DAC-D55F-4F9B-AAA3-1D2EA98C0DF4},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,,
v1.7.2.12,,{D40D6D69-F169-4396-A212-DA03F57B0259},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,,
v1.7.3.12,,{E1CF1AC1-0D35-4940-A75F-35994F5C4E20},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,win98,
v1.7.4.12,,{BB731669-E1A2-4505-AB18-942CF6AD447C},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,win98,
v1.7.5.12,,{B599442E-0225-4E0C-B930-EF370B11FB92},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,x64,win98
v1.8.1.12,,{F9E32F7D-FD8B-4DF8-8899-8C9B4055D15F},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,x64,win98
v1.8.2.12,,{D9ED67B5-4D13-45A0-B997-87E4F3BA465E},{DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB},vc8,win32,x64,win98

WiX auto-generated codes,,,,,,,
v1.9.0,2007-05-05 19:08:09.698000,DC91932F-19B8-42D9-942D-029473E5D80B,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32,win64,win98
v1.9.0,2007-05-05 19:18:33.479000,6BE962A3-3650-4E0E-8332-62E2EF754D32,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32,win64,win98
v1.9.0,2007-05-05 19:47:54.448000,1418DC95-F9BB-4757-ADEA-B150A7D9ED2F,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:08:00.245000,8835DE88-9E9E-48AF-8098-4072FECA98E7,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:17:32.323000,83B52794-848A-47D7-9E92-B401D1B6518F,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:18:12.792000,80B214D3-4593-4FCC-A4A6-836B91759A1D,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:21:59.839000,837908F6-770F-44EF-A772-33C00DFC50B4,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:22:21.495000,BB88D625-E823-4836-BD98-F1FEB89E651F,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:27:30.010000,8C9C407B-E42C-41E9-8644-5314E8784F6D,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:32:08.401000,49309B30-FF03-4E7D-97C7-54B42DE79080,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:49:00.854000,C559E41D-7CD9-4A24-8B71-16C3110F1185,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 20:57:26.667000,125456C1-86F2-40C2-9A12-B778A1DABFC9,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 21:26:19.354000,47C684F0-32BB-453E-8029-5FDD0A128AF9,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
v1.9.0,2007-05-05 21:39:53.198000,F9385DA4-E754-407A-A3E2-EE6492B36FC1,DD9A3E2B-5363-4BA7-9870-B5E1D227E7DB,VC8,win32
